GEOID,keep
17151971200,1
17151971300,1
17153971000,1
17155954500,1
17155954600,1
17157950500,1
17157950600,1
17157950700,1
17157950800,1
17157950900,1
17157951000,1
17157951100,1
17159977900,1
17159978300,1
17161020302,1
17161020400,1
17161020600,1
17161020700,1
17161020800,1
17161021400,1
17161024103,1
17163504002,1
17165955100,1
17165955500,1
17165955600,1
17165955700,1
17165955800,1
17165955900,1
17165956000,1
17165956100,1
17165956200,1
17167000600,1
17167002400,1
17167002500,1
17167002700,1
17167003000,1
17167003100,1
17167003201,1
17167003203,1
17167003901,1
17167003902,1
17169970100,1
17169970200,1
17169970300,1
17171970600,1
17171970700,1
17179020100,1
17179020400,1
17179020500,1
17179020800,1
17179020900,1
17179021802,1
17181950100,1
17183000100,1
17183000200,1
17183000300,1
17183000500,1
17183000600,1
17183000700,1
17183000800,1
17183000900,1
17183001300,1
17183010100,1
17183010300,1
17183010400,1
17183010500,1
17183010702,1
17183010800,1
17185957200,1
17185957300,1
17185957400,1
17185957500,1
17189950100,1
17189950200,1
17189950300,1
17189950400,1
17191954900,1
17193958000,1
17193958100,1
17193958200,1
17193958300,1
17193958400,1
17197880202,1
17197880203,1
17197880426,1
17197880428,1
17197880502,1
17197880503,1
17197880508,1
17197880509,1
17197880510,1
17197880511,1
17197880602,1
17197880901,1
17197884101,1
17197884103,1
17199020100,1
17199020201,1
17199020202,1
17199020300,1
17199020600,1
17199020700,1
17199020801,1
17199020802,1
17199020900,1
17199021002,1
17199021200,1
17199021300,1
17199021400,1
18017950900,1
18017951200,1
18017951400,1
18017951500,1
18017951600,1
18017951700,1
18021040300,1
18021040400,1
18021040500,1
18021040600,1
18027954300,1
18027954400,1
18027954501,1
18027954502,1
18027954600,1
18027954700,1
18027954800,1
18027954900,1
18029080301,1
18029080302,1
18029080400,1
18029080500,1
18037953200,1
18037953301,1
18037953302,1
18037953400,1
18037953500,1
18037953701,1
18037953702,1
18037953800,1
18043070500,1
18043070600,1
18043070700,1
18043070801,1
18043071104,1
18043071200,1
18051050100,1
18051050201,1
18051050202,1
18051050300,1
18051050401,1
18051050402,1
18051050501,1
18051050502,1
18055954701,1
18055954702,1
18055954800,1
18055954900,1
18055955000,1
18055955100,1
18055955200,1
18055955300,1
18055955400,1
18061060601,1
18073100800,1
18073100901,1
18073101000,1
18073101200,1
18083955000,1
18083955100,1
18083955201,1
18083955202,1
18083955700,1
18083955800,1
18083955900,1
18089010203,1
18089010302,1
18089010304,1
18089011000,1
18089020100,1
18089020200,1
18089020300,1
18089020400,1
18089021000,1
18089030100,1
18089030300,1
18089030400,1
18089030500,1
18089030700,1
18089030900,1
18089040100,1
18089990000,1
18091042900,1
18101950100,1
18101950200,1
18101950300,1
18103952100,1
18103952200,1
18103952300,1
18103952400,1
18103952500,1
18103952700,1
18107956800,1
18107956900,1
18107957000,1
18107957100,1
18107957200,1
18109510500,1
18109510701,1
18109510703,1
18109510704,1
18109510800,1
18109510900,1
18109511001,1
18119955600,1
18119955701,1
18119955702,1
18119955900,1
18121030100,1
18121030200,1
18121030300,1
18121030401,1
18121030402,1
18123952300,1
18123952400,1
18125953900,1
18125954000,1
18125954100,1
18125954200,1
18127050302,1
18127051102,1
18127980001,1
18127980002,1
18127990000,1
18129040100,1
18129040200,1
18129040400,1
18129040500,1
18129040600,1
18129040700,1
18131959100,1
18131959200,1
18133956100,1
18133956600,1
18147952701,1
18147952702,1
18147952800,1
18147952900,1
18147953000,1
18147953100,1
18149954200,1
18153050101,1
18153050102,1
18153050200,1
18153050301,1
18153050302,1
18153050400,1
18153050501,1
18153050502,1
18163010701,1
18165020400,1
18167000300,1
18167000900,1
18167001000,1
18167010201,1
18167010202,1
18167010300,1
18167010400,1
18167010601,1
18167010602,1
18167010702,1
18167010703,1
18167010704,1
18167011000,1
18167011202,1
18171951100,1
18173030100,1
18173030200,1
18173030300,1
18173030400,1
18173030501,1
18173030502,1
18173030601,1
18173030602,1
18173030704,1
18173030706,1
18173030801,1
19005960100,1
19005960200,1
19005960400,1
19005960500,1
19031450400,1
19031450500,1
19043070400,1
19043070500,1
19061000100,1
19061000300,1
19061000400,1
19061000500,1
19061000600,1
19061000701,1
19061000702,1
19061000801,1
19061001104,1
19061010103,1
19061010104,1
19061010600,1
19113000800,1
19113000902,1
19113001102,1
19113001200,1
19113001300,1
19113001400,1
19113001800,1
19113001900,1
19113002900,1
19113003003,1
19113003004,1
19113003005,1
19113010700,1
19125030101,1
19125030202,1
19125030300,1
19127950100,1
19127950400,1
19127950500,1
19127950600,1
19127950900,1
19127951000,1
19129040201,1
19129040202,1
19133960100,1
19133960200,1
19139050100,1
19139050200,1
19139050700,1
19155021400,1
19155021602,1
19155031300,1
19155031400,1
19155031601,1
19155031602,1
19155031800,1
19155031900,1
19163010103,1
19163010300,1
19163010401,1
19163013300,1
19163013400,1
19163013500,1
19163013702,1
19163013705,1
19163013706,1
19193003100,1
19193003200,1
19193003301,1
19193003302,1
19193003500,1
19193003600,1
19193940200,1
19197680200,1
19197680500,1
